,5_long,13_long,16_long,20_long,22_long,26_long,27_long,28_long,29_long,30_long,31_long,39_long,42_long,45_long,53_long,56_long,67_long,69_long,73_long,77_long,78_long,81_long,83_long,84_long,88_long,89_long,98_long,99_long,108_long,109_long,110_long,112_long,115_long,119_long,120_long,128_long,129_long,130_long,131_long,134_long,136_long,140_long,145_long,146_long,147_long,150_long,151_long,naive_ave_pnl
2023-04-30,0.14187527302224368,0.23205415528621218,0.2366634469109555,0.3180159638673785,0.33160304129626034,0.3829671280597769,0.6271341178978738,0.0,0.3498550362803994,0.3801481566158887,0.3520815222220142,0.45487198305452514,0.27653067055097164,0.0,0.3652557050404734,0.3271689692556762,0.0,0.0,0.3879148010605584,0.19956168394932713,0.357505866777243,0.0,0.0,0.37466534120377853,0.3206349920783731,0.0,0.13238527359021016,0.42592752010077023,0.3650884959434548,0.0,0.3208191045146863,0.0,0.0,0.0,0.0,0.0,0.6107520588455544,0.0,0.0,0.3482985339633873,0.362189069808393,0.0,0.3270968844796749,0.45939019956218324,0.0,0.2648221146976413,0.0,0.4803986168473343
2023-05-31,0.1533730207470131,0.25035467254190186,0.2643638529752868,0.31283249319221434,0.34715090168393115,0.3920232021198493,0.631677475341239,0.0,0.35573069034915844,0.3872610755729792,0.3617758270209272,0.453109261531924,0.2995757579685638,0.0,0.37141230888052995,0.3428144697563587,0.0,0.0,0.3929408596731138,0.20323349304486374,0.36761436623697286,0.0,0.0,0.3201589214037005,0.32155863457823175,0.0,0.14545895484068305,0.4402726749871439,0.37721611297559965,0.0,0.31882280169691907,0.0,0.0,0.0,0.0,0.0,0.6208581265533706,0.0,0.0,0.2843936586430198,0.3096583080350783,0.0,0.33658778594828453,0.46834016403668033,0.0,0.2706577533436068,0.0,0.4827288576438778
2023-06-30,0.1581109407103828,0.26306931077011203,0.27644841295898803,0.31320306046110163,0.3518811736707071,0.3941653258395867,0.632587406670786,0.0,0.35794850071688306,0.38736890843747634,0.3643367535412092,0.45265237893041815,0.30761712978794437,0.0,0.37302427684722134,0.3477439304593111,0.0,0.0,0.39533721920989673,0.20620600433815148,0.36834232479466,0.0,0.0,0.326398892115946,0.3223012797150283,0.0,0.1516244492343299,0.42459591038646965,0.37980033758136605,0.0,0.3222263186554051,0.0,0.0,0.0,0.0,0.0,0.6173972834158393,0.0,0.0,0.28593936799366726,0.313878224025003,0.0,0.33748291790079893,0.4672711365687171,0.0,0.2680855852137664,0.0,0.4824175828083332
2023-07-31,0.16345867709069298,0.2625618622412564,0.2607608649945626,0.31319377624862144,0.35737151200952066,0.3965479772127092,0.633580847909331,0.0,0.3609827414476474,0.3879920367583921,0.36744026854688333,0.45591823949760474,0.2955056949875598,0.0,0.3740104267809354,0.35205422905160466,0.0,0.0,0.3980616960481743,0.2106164701727383,0.369456370471935,0.0,0.0,0.3306324879424671,0.3244671168266501,0.0,0.15817899281873998,0.42690785384370816,0.3117355404011497,0.0,0.32902417549355933,0.0,0.0,0.0,0.0,0.0,0.6145725893186075,0.0,0.0,0.2886150310558024,0.31711128105577197,0.0,0.34002032401037324,0.472079556276861,0.0,0.2702899020291276,0.0,0.48222401097715584
2023-08-31,0.17187241328952357,0.2549244621763144,0.24908803134976046,0.34531131732607157,0.36783341717535145,0.40203984421834466,0.6360146933049949,0.0,0.3657610745982896,0.3918334605727109,0.373476775356761,0.47690308537984777,0.2791642073315793,0.0,0.37550728822284896,0.35999235354069636,0.0,0.0,0.4018234387741643,0.21690356004555597,0.37415438800943596,0.0,0.0,0.3354937138299051,0.3292007742890745,0.0,0.16774258477750129,0.42136918318583866,0.31928615063160465,0.0,0.3359198915015905,0.41865727036216377,0.0,0.0,0.4966014017617505,0.0,0.6133059235912431,0.0,0.0,0.29593480385118787,0.3716364561810534,0.0,0.3473696224426847,0.4764552231923065,0.0,0.2748476411253724,0.0,0.483148025792483
2023-09-30,0.1762427954723598,0.287763140754688,0.2582449107229724,0.3649727233293593,0.39281530833285766,0.40311646619196134,0.6361398770873425,0.0,0.36852183731304766,0.4616667564564981,0.3753092608508532,0.5068472961701134,0.17695261503589194,0.0,0.375454702228059,0.37855250768257415,0.0,0.0,0.4302789278310247,0.2933763620471123,0.4002775762021284,0.0,0.0,0.337848237024274,0.33174057700854975,0.0,0.17297852187248594,0.39707939650750934,0.3401380861917933,0.0,0.33813775460181267,0.5284403433363964,0.0,0.0,0.44754557505182563,0.0,0.6108269490453977,0.0,0.0,0.3259195654774074,0.39829457608857466,0.0,0.5393280296975113,0.4775398323126228,0.0,0.3161657889725697,0.0,0.5156191382948176
2023-10-31,0.1783115225930603,0.2965320227365311,0.43242494473388304,0.3562127046111811,0.389876919721444,0.39933927976089845,0.6342601876313906,0.0,0.36971241855287224,0.45726513529267176,0.3731976603490155,0.4881080982560553,0.18884929068008152,0.0,0.37433780694943314,0.37793804703271366,0.0,0.0,0.42908514979499646,0.36846051926674306,0.39579238794684524,0.0,0.0,0.3401775423342764,0.33211650416170285,0.0,0.17593920741279062,0.3890512861317183,0.3363627929540703,0.0,0.3366737978520716,0.3797338808953962,0.0,0.0,0.3462784548745075,0.0,0.6071770539986426,0.0,0.08608868384708772,0.3225353831322644,0.43023962388200093,0.0,0.5440441089177791,0.47573759693980716,0.0,0.3151338460989605,0.0,0.537313788474681
2023-11-30,0.18571827616623585,0.3035755799604211,0.35178411247018815,0.3561082725539681,0.39700606710166597,0.4032314606005964,0.635594992485639,0.0,0.37450951329542564,0.4594331242490069,0.37786269401237804,0.4804312120918187,0.20015562048053434,0.0,0.37577654525357795,0.3831993588893552,0.0,0.0,0.43021028434503794,0.3810341259705147,0.39740909671743774,0.0,0.0,0.34424297592052316,0.3345890642712179,0.0,0.18394761977202082,0.38463864051683677,0.34142438120571333,0.0,0.3359609190044552,0.31350310588983266,0.0,0.0,0.28985906081761037,0.0,0.6064541977716305,0.0,0.07001328436533874,0.32872677879022766,0.4312222357125001,0.0,0.5428883142093363,0.4740551726667725,0.0,0.31891190405648057,0.0,0.5396496454970264
2023-12-31,0.47488963616369545,0.3094853960601751,0.31438066274950643,0.34482366518541907,0.39532793586451065,0.399390810337614,0.6338262980028824,0.278521720819608,0.3757423196877748,0.45574119115903206,0.4344584560775118,0.46726043869019745,0.20265696472414907,0.0,0.3751697602443776,0.3828786197442119,0.0,0.0,0.463425469622977,0.3747536070250359,0.3907255725282777,0.0,0.0,0.3466645562686199,0.33383105187811984,0.0,0.18746825399925457,0.3732012246728594,0.3388929116082959,0.0,0.34148968823968257,0.27445943307226145,0.2991891572791691,0.2698391948472567,0.2685511469854312,0.0,0.6035260528019661,0.0,0.06340584748882579,0.326556000216561,0.42780611899325577,0.0,0.5335206469371259,0.4693648677335172,0.0,0.3184882206658334,0.0,0.5290958230673438
2024-01-31,0.47227447832734026,0.31428152984478064,0.2642108597528427,0.3465664867844884,0.3923466152625039,0.388675936680039,0.6293280388176067,0.28895075426058386,0.3745465388919338,0.44839795814743993,0.4269923981972121,0.4571412153281406,0.19222911063279788,0.0,0.37226906741471744,0.372577732783693,0.0,0.0,0.4604567735422537,0.38445557710081374,0.37686294878883286,0.0,0.0,0.34943052449455203,0.33108949760046236,0.0,0.18894928702946392,0.3688493569215054,0.3337487214592993,0.0,0.2656590936227622,0.24693283385674591,0.3002972117569156,0.28312189793964676,0.2423689496532997,0.0,0.5984702653999381,0.0,0.06473332409579095,0.32332891000148944,0.42384848822063115,0.0,0.5232029328999284,0.46409138750540013,0.0,0.3226930942424079,0.0,0.5257266565714754
